id,available_icu_beds_with_ventilator,total_beds_allocated_to_covid,pincode,total_beds_without_oxygen,occupied_beds_without_oxygen,hospital_phone,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,occupied_beds_with_oxygen,hospital_address,district,total_beds_with_oxygen,available_beds_with_oxygen,area,occupied_icu_beds_with_ventilator,available_beds_without_oxygen,total_icu_beds_without_ventilator,occupied_icu_beds_without_ventilator
87,0,31,380038,3,3,,SARDAR,0,1,23,"Sardar Patel Rd, Nikol, Ahmedabad, Gujarat 380038, India",Ahmedabad,23,0,NIKOL,1,0,4,4
88,0,14,380026,5,2,,Devasyam Children Hospital,0,0,9,"Opp. CTM BRTS stand, near Nexa show room, C.T.M, Amraiwadi, Ahmedabad, Gujarat 380026, India",Ahmedabad,9,0,Ahmedabad,0,3,0,0
89,0,23,382350,10,10,,Swastik mult. Spe. Hospital,0,0,13,"2nd floor, Shreedhar Flora Amar Jawan Circle, near, Sardar Patel Ring Rd, Nikol, Ahmedabad, Gujarat 382350, India",Ahmedabad,13,0,NIKOL,0,0,0,0
90,0,38,382415,16,6,,Shivalik Multi Specia.,0,2,14,"6/7, National Highway 8, Sattadhar Society, Sattadhar Nagar, Virat Nagar, Khodiar Nagar, Ahmedabad, Gujarat 382415, India",Ahmedabad,14,0,Ahmedabad,2,10,6,6
91,0,13,382350,6,6,,Nikol multi spe.,0,1,4,"1 st, OPP KHODIYAR TEMPLE, Maruti Complex, B/H, Nikol, Ahmedabad, Gujarat 382350, India",Ahmedabad,4,0,NIKOL,1,0,2,2
92,0,18,382345,11,10,,Safal Medical hospital,0,0,7,"11, 3rd floor, Palm Arcade, Nikol - Naroda Rd, New India Colony, Nikol, Ahmedabad, Gujarat 382345, India",Ahmedabad,7,0,NIKOL,0,1,0,0
93,0,28,382415,10,9,,RANGAM,0,1,14,"Arbuda Nagar Cir, opp. Panchdev Mandir, Jayjoghesvari Society Part 1, Arbudanagar, Mahadev Nagar Tekra, Ahmedabad, Gujarat 382415, India",Ahmedabad,14,0,ODHAV,1,1,3,3
94,0,10,382415,5,5,,Pancham,0,0,5,"B/6 Shivdarshan Society Near Manmohan Cross Road, Nikol - Odhav Rd, Odhav, Ahmedabad, Gujarat 382415, India",Ahmedabad,5,0,ODHAV,0,0,0,0
95,0,16,382350,4,1,,Kanba ICU & Trauma,0,3,4,"33/4, Opposite Abjibapa green Avenue Anjana Chowk highway, Virat Nagar Rd, near कृष एक्सोटिका, Nikol, Ahmedabad, Gujarat 382350, India",Ahmedabad,4,0,VASTRAL,3,3,5,5
96,0,41,380038,16,16,,"Spandan Hospital, Vastral,",0,3,16,"Shiv Shanti Society, Pranami Nagar, Vastral, Ahmedabad, Gujarat 380038, India",Ahmedabad,16,0,Vastral,3,0,6,6
97,0,9,382418,5,5,,OM Family Care,0,0,4,"208, metro mall, Bapa Sitaram Chowk Road, near swaymbhu hospital, Vastral, Ahmedabad, Gujarat 382418, India",Ahmedabad,4,0,Vastral,0,0,0,0
98,0,14,380023,4,2,,Shree Gurukrupa multi. Spe. Hospital,0,0,10,"Krishna Chambers, Rajendra Park Rd, Soni ni chali, Ramrajya Nagar, Odhav, Ahmedabad, Gujarat 380023, India",Ahmedabad,10,0,ODHAV,0,2,0,0
